payee,mn_count,power
3k3Cu9D2a9eEvAUMe5REGazepNMjmF1EdV,1,0.036670334
3eN4R6h6ar6zd2kDdbGjRzhiKt5Yw3SMPs,1,0.036670334
3iz2r76KsAA7pqecXiqFdD8eGFEJDJAAYG,1,0.036670334
3crYoiPL6gQEW1as9scUD32Z9yRdPJH3Lu,1,0.036670334
3ZfNk3MDLp5N7cvuZpQP4MHF7RGtTzGtU7,1,0.036670334
3nNtuuLYiJ2hLUEHf3eFi64Eh9VuFkkX9H,1,0.036670334
3SanL9mLLTUUuuVScWcvfCsctNvPT9hrSH,1,0.036670334
3n5kij6h6PXCtc5gzuzkL4ePuT3kWzEnib,1,0.036670334
3cPGu9ajEXHVUAGyC3HG3kQUqDxtWo5Pwv,1,0.036670334
3Y8NTQfWw8LiNvatUWLiE2iMQR3Ts47EmR,1,0.036670334
3iu6hR1EFf6oAeVEDEMfRmUfvEF7xqGaxb,1,0.036670334
3X8mTZdzkY11Ymqd9Qr5DPQ2qUsseAwZ2V,1,0.036670334
3o7P9eBN7gUuxzD1hfbExfniAG1oTitLFx,1,0.036670334
3axQbcmjNjhC5CZD8dFikrPNtCvmKw76ab,1,0.036670334
3h69tdXnmhj4SXSMTQYkatPaU3BonNGtTR,1,0.036670334
3V3eBZ66EwzajSHMhtK9NQEfLTUFcUX5F1,1,0.036670334
3cerbDfxmbEn38BiafuuS5tTAeTfcCtSa7,1,0.036670334
3ctqnGVXAJyiw5Xs31AH1eg7ruRakeJ9xd,1,0.036670334
3SRoX5UBs17g6vn3ciSvJH48GoKexGqzZB,1,0.036670334
3SQPyBUydtNpaZZcQG9kAgJCAdeybJasDY,1,0.036670334
3oYKaMnbFhfE3i7hLBJgEmicRuXV3KpXSn,1,0.036670334
3YYy4tTKCuQ1iAwi6FUUC1PqYBHyCXFKpY,1,0.036670334
3p6Do1mV5M9wFwz63vRkHttAMAdbt1KpST,1,0.036670334
3eN9vVMyRtjsz1o3vfiHC2Ln86XNjd9Wnn,1,0.036670334
